asset,kit,waar_label,alt_label,sport,repeat,ok,model,label,confidence,attributes,polycount_impression,surface_finish,latency_ms,prompt_tokens,beeld_tokens,output_tokens,ruw
B5_dishrack,KayKit_Restaurant_Bits,stylised PBR,toon-cel,256,3,1,claude-opus-5,low-poly flat-shaded,0.72,flat-shaded | faceted edges | matte diffuse | untextured solids | chunky primitives,low,"matte, untextured, slight soft shading",6662,25955,99,109,"{""style_label"": ""low-poly flat-shaded"", ""confidence"": 0.72, ""attributes"": [""flat-shaded"", ""faceted edges"", ""matte diffuse"", ""untextured solids"", ""chunky primitives""], ""polycount_impression"": ""low"", ""surface_finish"": ""matte, untextured, slight soft shading""}"
A2_snowman,kenney_holidaykit,low-poly flat-shaded,,1092,1,1,claude-opus-5,low-poly flat-shaded,0.93,faceted geometry | flat shading | visible polygon edges | minimal texture | simple color blocks,low,"matte, untextured flat facets with soft gradients",6030,27376,1520,123,"{   ""style_label"": ""low-poly flat-shaded"",   ""confidence"": 0.93,   ""attributes"": [""faceted geometry"", ""flat shading"", ""visible polygon edges"", ""minimal texture"", ""simple color blocks""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte, untextured flat facets with soft gradients"" }"
A1_chest,kenney_survival-kit,low-poly flat-shaded,,512,3,1,claude-opus-5,low-poly flat-shaded,0.82,faceted geometry | flat gradient shading | minimal texture detail | chunky silhouette | soft ambient light,low,matte untextured flat-shaded facets,5973,26216,360,106,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.82,""attributes"":[""faceted geometry"",""flat gradient shading"",""minimal texture detail"",""chunky silhouette"",""soft ambient light""],""polycount_impression"":""low"",""surface_finish"":""matte untextured flat-shaded facets""}"
A4_hammerhead,ocean,low-poly flat-shaded,,768,2,1,claude-opus-5,low-poly flat-shaded,0.95,faceted | flat-shaded | untextured | monochrome slate-blue | angular silhouette,low,"matte flat facets, no texture or specular",6509,26639,783,108,"{""style_label"": ""low-poly flat-shaded"", ""confidence"": 0.95, ""attributes"": [""faceted"", ""flat-shaded"", ""untextured"", ""monochrome slate-blue"", ""angular silhouette""], ""polycount_impression"": ""low"", ""surface_finish"": ""matte flat facets, no texture or specular""}"
B5_dishrack,KayKit_Restaurant_Bits,stylised PBR,toon-cel,2576,3,1,claude-opus-5,low-poly flat-shaded,0.93,faceted silhouette | flat shading | limited palette | visible polygon edges | minimal texture detail,low,"matte, untextured flat facets",5812,30661,4805,99,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.93,""attributes"":[""faceted silhouette"",""flat shading"",""limited palette"",""visible polygon edges"",""minimal texture detail""],""polycount_impression"":""low"",""surface_finish"":""matte, untextured flat facets""}"
C2_cauldron,FantasyProps_glTF_1k,painterly-texture,,1092,1,1,claude-opus-5,stylised PBR,0.62,faceted silhouette | chamfered rim bands | soft matte shading | subtle wear speckles | game-ready prop,medium,matte grey metal with light scuff highlights,5785,27376,1520,125,"{   ""style_label"": ""stylised PBR"",   ""confidence"": 0.62,   ""attributes"": [""faceted silhouette"", ""chamfered rim bands"", ""soft matte shading"", ""subtle wear speckles"", ""game-ready prop""],   ""polycount_impression"": ""medium"",   ""surface_finish"": ""matte grey metal with light scuff highlights"" }"
A1_chest,kenney_survival-kit,low-poly flat-shaded,,1092,3,1,claude-opus-5,low-poly flat-shaded,0.92,faceted geometry | flat shading | minimal texture | chunky silhouette | game-ready prop,low,"matte, untextured flat diffuse surfaces",5550,27376,1520,104,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.92,""attributes"":[""faceted geometry"",""flat shading"",""minimal texture"",""chunky silhouette"",""game-ready prop""],""polycount_impression"":""low"",""surface_finish"":""matte, untextured flat diffuse surfaces""}"
C3_chest,FantasyProps_glTF_1k,painterly-texture,,256,3,1,claude-opus-5,low-poly flat-shaded,0.82,chamfered edges | flat grey material | wood plank texture | game-ready prop | clean bevels,low,"matte, minimal specular, lightly beveled",5778,25955,99,103,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.82,""attributes"":[""chamfered edges"",""flat grey material"",""wood plank texture"",""game-ready prop"",""clean bevels""],""polycount_impression"":""low"",""surface_finish"":""matte, minimal specular, lightly beveled""}"
A4_hammerhead,ocean,low-poly flat-shaded,,512,3,1,claude-opus-5,low-poly flat-shaded,0.94,faceted planes | flat shading | hard normals | untextured solid color | minimal silhouette,low,"matte flat facets, no texture detail",6218,26216,360,98,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.94,""attributes"":[""faceted planes"",""flat shading"",""hard normals"",""untextured solid color"",""minimal silhouette""],""polycount_impression"":""low"",""surface_finish"":""matte flat facets, no texture detail""}"
B5_dishrack,KayKit_Restaurant_Bits,stylised PBR,toon-cel,768,3,1,claude-opus-5,low-poly flat-shaded,0.91,faceted geometry | flat shading | hard edges | limited palette | untextured solids,low,"matte flat facets, no texture detail",5408,26639,783,95,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.91,""attributes"":[""faceted geometry"",""flat shading"",""hard edges"",""limited palette"",""untextured solids""],""polycount_impression"":""low"",""surface_finish"":""matte flat facets, no texture detail""}"
C2_cauldron,FantasyProps_glTF_1k,painterly-texture,,256,1,1,claude-opus-5,low-poly flat-shaded,0.72,untextured grey | faceted silhouette | matte clay shading | chunky primitive forms | neutral studio light,low,"matte untextured grey clay, soft shading",5610,25955,99,106,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.72,""attributes"":[""untextured grey"",""faceted silhouette"",""matte clay shading"",""chunky primitive forms"",""neutral studio light""],""polycount_impression"":""low"",""surface_finish"":""matte untextured grey clay, soft shading""}"
C1_bookcase,FantasyProps_glTF_1k,painterly-texture,,1568,2,1,claude-opus-5,painterly-texture,0.82,hand-painted wood grain | warm brown palette | baked-in highlights | stylised game-ready prop | flat ambient lighting,medium,matte hand-painted wood with painted metal fittings,6393,28991,3135,132,"{   ""style_label"": ""painterly-texture"",   ""confidence"": 0.82,   ""attributes"": [""hand-painted wood grain"", ""warm brown palette"", ""baked-in highlights"", ""stylised game-ready prop"", ""flat ambient lighting""],   ""polycount_impression"": ""medium"",   ""surface_finish"": ""matte hand-painted wood with painted metal fittings"" }"
B3_cabinet,KayKit_Furniture_Bits,stylised PBR,toon-cel,1568,3,1,claude-opus-5,low-poly flat-shaded,0.82,faceted geometry | soft gradient shading | chunky proportions | flat color blocks | game-ready prop,low,"matte untextured, smooth soft-shaded facets",5650,28991,3135,108,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.82,""attributes"":[""faceted geometry"",""soft gradient shading"",""chunky proportions"",""flat color blocks"",""game-ready prop""],""polycount_impression"":""low"",""surface_finish"":""matte untextured, smooth soft-shaded facets""}"
A3_birch,Ultimate_Nature_Pack_by_Quaternius,low-poly flat-shaded,,1092,2,1,claude-opus-5,low-poly flat-shaded,0.94,faceted-planes | flat-shading | hard-edges | untextured-solid-color | stylised-silhouette,low,"matte diffuse, no specular or texture",5076,27376,1520,105,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.94,""attributes"":[""faceted-planes"",""flat-shading"",""hard-edges"",""untextured-solid-color"",""stylised-silhouette""],""polycount_impression"":""low"",""surface_finish"":""matte diffuse, no specular or texture""}"
B3_cabinet,KayKit_Furniture_Bits,stylised PBR,toon-cel,256,2,1,claude-opus-5,stylised PBR,0.72,soft baked shading | warm wood tones | rounded bevels | chunky proportions | matte diffuse surfaces,low,"matte, softly shaded, subtle painted texture",6092,25955,99,125,"{   ""style_label"": ""stylised PBR"",   ""confidence"": 0.72,   ""attributes"": [""soft baked shading"", ""warm wood tones"", ""rounded bevels"", ""chunky proportions"", ""matte diffuse surfaces""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte, softly shaded, subtle painted texture"" }"
A3_birch,Ultimate_Nature_Pack_by_Quaternius,low-poly flat-shaded,,512,2,1,claude-opus-5,low-poly flat-shaded,0.94,faceted foliage | flat shading | hard facet edges | limited palette | stylised tree,low,"matte untextured flat facets, no specular",5509,26216,360,117,"{   ""style_label"": ""low-poly flat-shaded"",   ""confidence"": 0.94,   ""attributes"": [""faceted foliage"", ""flat shading"", ""hard facet edges"", ""limited palette"", ""stylised tree""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte untextured flat facets, no specular"" }"
B1_table,KayKit_Dungeon_Pack,stylised PBR,toon-cel,768,3,1,claude-opus-5,low-poly flat-shaded,0.92,faceted geometry | flat matte colors | soft ambient light | chunky stylised props | minimal texture detail,low,"matte flat shading, no specular highlights",5049,26639,783,124,"{   ""style_label"": ""low-poly flat-shaded"",   ""confidence"": 0.92,   ""attributes"": [""faceted geometry"", ""flat matte colors"", ""soft ambient light"", ""chunky stylised props"", ""minimal texture detail""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte flat shading, no specular highlights"" }"
A3_birch,Ultimate_Nature_Pack_by_Quaternius,low-poly flat-shaded,,256,2,1,claude-opus-5,low-poly flat-shaded,0.94,faceted planes | flat shading | hard facet edges | untextured solid color | stylised foliage mass,low,"matte untextured, visible flat facets",5259,25955,99,120,"{   ""style_label"": ""low-poly flat-shaded"",   ""confidence"": 0.94,   ""attributes"": [""faceted planes"", ""flat shading"", ""hard facet edges"", ""untextured solid color"", ""stylised foliage mass""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte untextured, visible flat facets"" }"
A5_cart,Modular Village,low-poly flat-shaded,,1568,1,1,claude-opus-5,low-poly flat-shaded,0.95,faceted geometry | flat shading | muted beige palette | hard edges | untextured solids,low,"matte flat-shaded, no texture maps",5202,28991,3135,99,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.95,""attributes"":[""faceted geometry"",""flat shading"",""muted beige palette"",""hard edges"",""untextured solids""],""polycount_impression"":""low"",""surface_finish"":""matte flat-shaded, no texture maps""}"
C3_chest,FantasyProps_glTF_1k,painterly-texture,,256,1,1,claude-opus-5,low-poly flat-shaded,0.82,chunky bevels | flat shading | game-ready prop | simple wood texture | desaturated grey metal,low,"matte, untextured metal with flat wood panels",5514,25955,99,105,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.82,""attributes"":[""chunky bevels"",""flat shading"",""game-ready prop"",""simple wood texture"",""desaturated grey metal""],""polycount_impression"":""low"",""surface_finish"":""matte, untextured metal with flat wood panels""}"
C5_tent,nature_kit,painterly-texture,,192,1,1,claude-opus-5,low-poly flat-shaded,0.72,flat green panels | faceted silhouette | matte diffuse | minimal detail | hard edges,low,matte untextured flat-shaded solid,5147,25904,48,100,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.72,""attributes"":[""flat green panels"",""faceted silhouette"",""matte diffuse"",""minimal detail"",""hard edges""],""polycount_impression"":""low"",""surface_finish"":""matte untextured flat-shaded solid""}"
A4_hammerhead,ocean,low-poly flat-shaded,,192,2,1,claude-opus-5,low-poly flat-shaded,0.92,faceted planes | flat shading | muted slate blue | hard normals | minimal silhouette,low,"matte untextured flat facets, no specular",5585,25904,48,99,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.92,""attributes"":[""faceted planes"",""flat shading"",""muted slate blue"",""hard normals"",""minimal silhouette""],""polycount_impression"":""low"",""surface_finish"":""matte untextured flat facets, no specular""}"
C3_chest,FantasyProps_glTF_1k,painterly-texture,,1092,2,1,claude-opus-5,low-poly flat-shaded,0.72,faceted geometry | hand-painted wood texture | flat grey metal | chunky bevels | game-ready prop,low,"matte, non-reflective, lightly textured diffuse",6468,27376,1520,111,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.72,""attributes"":[""faceted geometry"",""hand-painted wood texture"",""flat grey metal"",""chunky bevels"",""game-ready prop""],""polycount_impression"":""low"",""surface_finish"":""matte, non-reflective, lightly textured diffuse""}"
C1_bookcase,FantasyProps_glTF_1k,painterly-texture,,512,1,1,claude-opus-5,painterly-texture,0.78,hand-painted wood grain | visible brush streaks | warm brown palette | stylised metal brackets | flat baked lighting,low,"matte hand-painted diffuse, no specular highlights",4915,26216,360,111,"{""style_label"":""painterly-texture"",""confidence"":0.78,""attributes"":[""hand-painted wood grain"",""visible brush streaks"",""warm brown palette"",""stylised metal brackets"",""flat baked lighting""],""polycount_impression"":""low"",""surface_finish"":""matte hand-painted diffuse, no specular highlights""}"
A4_hammerhead,ocean,low-poly flat-shaded,,384,1,1,claude-opus-5,low-poly flat-shaded,0.94,faceted | flat shading | hard edges | untextured | single base color,low,"matte flat diffuse, no texture or specular",5371,26051,195,111,"{   ""style_label"": ""low-poly flat-shaded"",   ""confidence"": 0.94,   ""attributes"": [""faceted"", ""flat shading"", ""hard edges"", ""untextured"", ""single base color""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte flat diffuse, no texture or specular"" }"
B2_armchair,KayKit_Furniture_Bits,stylised PBR,toon-cel,192,2,1,claude-opus-5,stylised PBR,0.82,soft rounded forms | matte plastic look | warm orange palette | soft studio lighting | clean bevels,medium,"smooth matte plastic, softly beveled edges",6657,25904,48,104,"{""style_label"":""stylised PBR"",""confidence"":0.82,""attributes"":[""soft rounded forms"",""matte plastic look"",""warm orange palette"",""soft studio lighting"",""clean bevels""],""polycount_impression"":""medium"",""surface_finish"":""smooth matte plastic, softly beveled edges""}"
C3_chest,FantasyProps_glTF_1k,painterly-texture,,768,2,1,claude-opus-5,stylised PBR,0.62,chunky bevels | untextured metal bands | wood grain texture | game-ready prop | soft diffuse shading,medium,matte grey metal with warm wood panels,5240,26639,783,103,"{""style_label"":""stylised PBR"",""confidence"":0.62,""attributes"":[""chunky bevels"",""untextured metal bands"",""wood grain texture"",""game-ready prop"",""soft diffuse shading""],""polycount_impression"":""medium"",""surface_finish"":""matte grey metal with warm wood panels""}"
A1_chest,kenney_survival-kit,low-poly flat-shaded,,2576,1,1,claude-opus-5,low-poly flat-shaded,0.88,faceted silhouette | flat solid color | minimal texture detail | chunky beveled forms | soft gradient shading,low,"matte untextured, softly shaded flat facets",6582,30661,4805,109,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.88,""attributes"":[""faceted silhouette"",""flat solid color"",""minimal texture detail"",""chunky beveled forms"",""soft gradient shading""],""polycount_impression"":""low"",""surface_finish"":""matte untextured, softly shaded flat facets""}"
C3_chest,FantasyProps_glTF_1k,painterly-texture,,192,3,1,claude-opus-5,low-poly flat-shaded,0.62,chunky silhouette | flat grey metal | wood plank texture | game-ready prop | beveled edges,low,matte untextured metal with simple wood grain,6078,25904,48,123,"{   ""style_label"": ""low-poly flat-shaded"",   ""confidence"": 0.62,   ""attributes"": [""chunky silhouette"", ""flat grey metal"", ""wood plank texture"", ""game-ready prop"", ""beveled edges""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte untextured metal with simple wood grain"" }"
A4_hammerhead,ocean,low-poly flat-shaded,,384,2,1,claude-opus-5,low-poly flat-shaded,0.94,faceted | flat-shaded | untextured | monochrome blue-grey | angular silhouette,low,"matte, flat diffuse, no texture detail",5394,26051,195,102,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.94,""attributes"":[""faceted"",""flat-shaded"",""untextured"",""monochrome blue-grey"",""angular silhouette""],""polycount_impression"":""low"",""surface_finish"":""matte, flat diffuse, no texture detail""}"
A4_hammerhead,ocean,low-poly flat-shaded,,192,1,1,claude-opus-5,low-poly flat-shaded,0.92,faceted planes | flat shading | muted slate-blue | visible triangles | minimal detail,low,"matte untextured, flat facets, no specular",5297,25904,48,100,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.92,""attributes"":[""faceted planes"",""flat shading"",""muted slate-blue"",""visible triangles"",""minimal detail""],""polycount_impression"":""low"",""surface_finish"":""matte untextured, flat facets, no specular""}"
C4_stall,FantasyProps_glTF_1k,painterly-texture,,192,1,1,claude-opus-5,low-poly flat-shaded,0.72,faceted geometry | flat diffuse shading | muted wood tones | minimal texture detail | soft ambient occlusion,low,"matte, untextured, softly lit flat surfaces",6214,25904,48,121,"{""style_label"": ""low-poly flat-shaded"", ""confidence"": 0.72, ""attributes"": [""faceted geometry"", ""flat diffuse shading"", ""muted wood tones"", ""minimal texture detail"", ""soft ambient occlusion""], ""polycount_impression"": ""low"", ""surface_finish"": ""matte, untextured, softly lit flat surfaces""}"
A3_birch,Ultimate_Nature_Pack_by_Quaternius,low-poly flat-shaded,,1568,3,1,claude-opus-5,low-poly flat-shaded,0.95,faceted planes | flat shading | untextured solids | stylised foliage clusters | neutral studio backdrop,low,"matte flat-shaded facets, no texture detail",6840,28991,3135,127,"{   ""style_label"": ""low-poly flat-shaded"",   ""confidence"": 0.95,   ""attributes"": [""faceted planes"", ""flat shading"", ""untextured solids"", ""stylised foliage clusters"", ""neutral studio backdrop""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte flat-shaded facets, no texture detail"" }"
B3_cabinet,KayKit_Furniture_Bits,stylised PBR,toon-cel,512,3,1,claude-opus-5,stylised PBR,0.82,soft-shaded | rounded-bevels | chunky-props | muted-warm-palette | hand-crafted-diorama,medium,"smooth matte, subtle soft specular highlights",5653,26216,360,109,"{""style_label"":""stylised PBR"",""confidence"":0.82,""attributes"":[""soft-shaded"",""rounded-bevels"",""chunky-props"",""muted-warm-palette"",""hand-crafted-diorama""],""polycount_impression"":""medium"",""surface_finish"":""smooth matte, subtle soft specular highlights""}"
A5_cart,Modular Village,low-poly flat-shaded,,256,2,1,claude-opus-5,low-poly flat-shaded,0.72,untextured | monochrome beige | faceted geometry | clay render | soft ambient occlusion,medium,"matte untextured clay, no specular highlights",5424,25955,99,110,"{""style_label"": ""low-poly flat-shaded"", ""confidence"": 0.72, ""attributes"": [""untextured"", ""monochrome beige"", ""faceted geometry"", ""clay render"", ""soft ambient occlusion""], ""polycount_impression"": ""medium"", ""surface_finish"": ""matte untextured clay, no specular highlights""}"
B3_cabinet,KayKit_Furniture_Bits,stylised PBR,toon-cel,768,1,1,claude-opus-5,low-poly flat-shaded,0.83,faceted geometry | soft gradient shading | warm muted palette | chunky proportions | clean silhouette,low,"matte, untextured, softly shaded vertex color",5240,26639,783,107,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.83,""attributes"":[""faceted geometry"",""soft gradient shading"",""warm muted palette"",""chunky proportions"",""clean silhouette""],""polycount_impression"":""low"",""surface_finish"":""matte, untextured, softly shaded vertex color""}"
C3_chest,FantasyProps_glTF_1k,painterly-texture,,2576,2,1,claude-opus-5,low-poly flat-shaded,0.72,faceted geometry | hand-painted wood texture | chunky bevels | matte diffuse shading | game-ready prop,low,"matte, flat-shaded with painted wood grain",6210,30661,4805,119,"{""style_label"": ""low-poly flat-shaded"", ""confidence"": 0.72, ""attributes"": [""faceted geometry"", ""hand-painted wood texture"", ""chunky bevels"", ""matte diffuse shading"", ""game-ready prop""], ""polycount_impression"": ""low"", ""surface_finish"": ""matte, flat-shaded with painted wood grain""}"
B5_dishrack,KayKit_Restaurant_Bits,stylised PBR,toon-cel,512,2,1,claude-opus-5,low-poly flat-shaded,0.88,faceted | flat-shaded | hard edges | untextured | chunky forms,low,"matte flat facets, no texture detail",5339,26216,360,93,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.88,""attributes"":[""faceted"",""flat-shaded"",""hard edges"",""untextured"",""chunky forms""],""polycount_impression"":""low"",""surface_finish"":""matte flat facets, no texture detail""}"
C1_bookcase,FantasyProps_glTF_1k,painterly-texture,,384,2,1,claude-opus-5,painterly-texture,0.62,hand-painted wood grain | warm brown palette | soft diffuse shading | chunky metal brackets | game-ready prop,low,"matte hand-painted wood, low specular",7136,26051,195,125,"{   ""style_label"": ""painterly-texture"",   ""confidence"": 0.62,   ""attributes"": [""hand-painted wood grain"", ""warm brown palette"", ""soft diffuse shading"", ""chunky metal brackets"", ""game-ready prop""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte hand-painted wood, low specular"" }"
A5_cart,Modular Village,low-poly flat-shaded,,384,1,1,claude-opus-5,low-poly flat-shaded,0.88,flat-shaded facets | muted beige palette | untextured solids | isometric render | simple geometry,low,"matte, flat diffuse, no texture detail",4750,26051,195,103,"{""style_label"":""low-poly flat-shaded"",""confidence"":0.88,""attributes"":[""flat-shaded facets"",""muted beige palette"",""untextured solids"",""isometric render"",""simple geometry""],""polycount_impression"":""low"",""surface_finish"":""matte, flat diffuse, no texture detail""}"
C4_stall,FantasyProps_glTF_1k,painterly-texture,,256,2,1,claude-opus-5,stylised PBR,0.68,warm wood grain | soft canvas awning | hand-modelled planks | muted diffuse palette | clean neutral lighting,medium,matte wood with soft translucent fabric,5290,25955,99,126,"{   ""style_label"": ""stylised PBR"",   ""confidence"": 0.68,   ""attributes"": [""warm wood grain"", ""soft canvas awning"", ""hand-modelled planks"", ""muted diffuse palette"", ""clean neutral lighting""],   ""polycount_impression"": ""medium"",   ""surface_finish"": ""matte wood with soft translucent fabric"" }"
A1_chest,kenney_survival-kit,low-poly flat-shaded,,192,1,1,claude-opus-5,low-poly flat-shaded,0.72,chunky forms | flat matte shading | terracotta palette | beveled edges | minimal detail,low,matte untextured clay-like solid color,5625,25904,48,118,"{   ""style_label"": ""low-poly flat-shaded"",   ""confidence"": 0.72,   ""attributes"": [""chunky forms"", ""flat matte shading"", ""terracotta palette"", ""beveled edges"", ""minimal detail""],   ""polycount_impression"": ""low"",   ""surface_finish"": ""matte untextured clay-like solid color"" }"
B3_cabinet,KayKit_Furniture_Bits,stylised PBR,toon-cel,512,1,1,claude-opus-5,stylised PBR,0.82,soft-shaded | chunky-props | warm-wood-palette | rounded-bevels | diorama-prop,medium,"smooth matte, subtle soft-shaded gradients",5299,26216,360,107,"{""style_label"":""stylised PBR"",""confidence"":0.82,""attributes"":[""soft-shaded"",""chunky-props"",""warm-wood-palette"",""rounded-bevels"",""diorama-prop""],""polycount_impression"":""medium"",""surface_finish"":""smooth matte, subtle soft-shaded gradients""}"
